"origin","model","h","forecast","actual","error"
83,"MA(1)",1,73.8556611886324,85.5269996643066,11.6713384756743
83,"MA(1)",6,76.2753091739201,117.663810003371,41.3885008294514
83,"MA(1)",12,79.2028303968958,81.3414284842355,2.13859808733964
83,"MA(2)",1,72.5837772195742,85.5269996643066,12.9432224447324
83,"MA(2)",6,74.8166923571131,117.663810003371,42.8471176462584
83,"MA(2)",12,78.1744903637022,81.3414284842355,3.16693812053325
83,"ARMA(1,1)",1,73.455474441411,85.5269996643066,12.0715252228956
83,"ARMA(1,1)",6,75.688873308587,117.663810003371,41.9749366947845
83,"ARMA(1,1)",12,78.7490620884994,81.3414284842355,2.59236639573612
83,"Auto-ARIMA",1,69.9032785373584,85.5269996643066,15.6237211269483
83,"Auto-ARIMA",6,59.6387925785783,117.663810003371,58.0250174247931
83,"Auto-ARIMA",12,55.0679437875832,81.3414284842355,26.2734846966523
84,"Naive RW",1,85.5269996643066,94.0336845799496,8.50668491564302
84,"Naive RW",6,85.5269996643066,104.704999542236,19.1779998779297
84,"Naive RW",12,85.5269996643066,83.8790000915527,-1.64799957275387
84,"Naive RW (bias-c)",1,85.9930068415122,94.0336845799496,8.04067773843747
84,"Naive RW (bias-c)",6,88.361407245914,104.704999542236,16.3435922963223
84,"Naive RW (bias-c)",12,91.2897485136113,83.8790000915527,-7.41074842205856
84,"RW + drift",1,86.0818968086725,94.0336845799496,7.95178777127713
84,"RW + drift",6,88.9108543571483,104.704999542236,15.794145185088
84,"RW + drift",12,92.4285904281187,83.8790000915527,-8.54959033656598
84,"AR(1)",1,90.5964463603971,94.0336845799496,3.43723821955251
84,"AR(1)",6,96.1260474255207,104.704999542236,8.57895211671564
84,"AR(1)",12,99.9456216747301,83.8790000915527,-16.0666215831774
84,"MA(1)",1,92.4798952810115,94.0336845799496,1.55378929893818
84,"MA(1)",6,96.7342862972602,104.704999542236,7.97071324497608
84,"MA(1)",12,101.993189687296,83.8790000915527,-18.1141895957437
84,"MA(2)",1,94.0219280922747,94.0336845799496,0.0117564876749583
84,"MA(2)",6,101.391333712855,104.704999542236,3.31366582938176
84,"MA(2)",12,107.844958597303,83.8790000915527,-23.9659585057505
84,"ARMA(1,1)",1,92.904475673107,94.0336845799496,1.12920890684268
84,"ARMA(1,1)",6,98.1643668897792,104.704999542236,6.54063265245708
84,"ARMA(1,1)",12,103.790395644171,83.8790000915527,-19.9113955526182
84,"Auto-ARIMA",1,89.0453705049818,94.0336845799496,4.98831407496779
84,"Auto-ARIMA",6,68.5447708230457,104.704999542236,36.1602287191906
84,"Auto-ARIMA",12,58.6857726138703,83.8790000915527,25.1932274776824
85,"Naive RW",1,94.0336845799496,112.463044208029,18.4293596280794
85,"Naive RW",6,94.0336845799496,97.7408689415973,3.70718436164768
85,"Naive RW",12,94.0336845799496,83.5094732987253,-10.5242112812243
85,"Naive RW (bias-c)",1,94.5449980178333,112.463044208029,17.9180461901958
85,"Naive RW (bias-c)",6,97.143573236037,97.7408689415973,0.597295705560299
85,"Naive RW (bias-c)",12,100.356312349346,83.5094732987253,-16.8468390506205
85,"RW + drift",1,94.7422022722583,112.463044208029,17.7208419357707
85,"RW + drift",6,98.365677033505,97.7408689415973,-0.624808091907681
85,"RW + drift",12,102.897237957673,83.5094732987253,-19.3877646589473
85,"AR(1)",1,98.3188032935953,112.463044208029,14.1442409144337
85,"AR(1)",6,104.119078316433,97.7408689415973,-6.37820937483563
85,"AR(1)",12,108.930458777471,83.5094732987253,-25.4209854787458
85,"MA(1)",1,96.1920998772879,112.463044208029,16.2709443307412
85,"MA(1)",6,100.804817573271,97.7408689415973,-3.06394863167375
85,"MA(1)",12,106.522646772494,83.5094732987253,-23.0131734737685
85,"MA(2)",1,97.8861367195598,112.463044208029,14.5769074884692
85,"MA(2)",6,103.3139449395,97.7408689415973,-5.57307599790229
85,"MA(2)",12,109.963142359762,83.5094732987253,-26.4536690610364
85,"ARMA(1,1)",1,96.7782176522922,112.463044208029,15.6848265557369
85,"ARMA(1,1)",6,101.816257696744,97.7408689415973,-4.07538875514659
85,"ARMA(1,1)",12,107.861921670949,83.5094732987253,-24.352448372224
85,"Auto-ARIMA",1,95.5187871458152,112.463044208029,16.9442570622139
85,"Auto-ARIMA",6,88.5253655299783,97.7408689415973,9.21550341161898
85,"Auto-ARIMA",12,81.1436064704755,83.5094732987253,2.36586682824985
86,"Naive RW",1,112.463044208029,105.916999816895,-6.54604439113447
86,"Naive RW",6,112.463044208029,90.3247611636207,-22.1382830444083
86,"Naive RW",12,112.463044208029,79.2069562829059,-33.2560879251231
86,"Naive RW (bias-c)",1,113.088496538919,105.916999816895,-7.1714967220248
86,"Naive RW (bias-c)",6,116.268322594256,90.3247611636207,-25.9435614306348
86,"Naive RW (bias-c)",12,120.202355663397,79.2069562829059,-40.9953993804914
86,"RW + drift",1,113.536563486965,105.916999816895,-7.61956367007069
86,"RW + drift",6,119.05983990597,90.3247611636207,-28.7350787423496
86,"RW + drift",12,126.043586835641,79.2069562829059,-46.8366305527354
86,"AR(1)",1,121.579838074381,105.916999816895,-15.6628382574867
86,"AR(1)",6,132.559765593628,90.3247611636207,-42.2350044300077
86,"AR(1)",12,140.376036442118,79.2069562829059,-61.1690801592126
86,"MA(1)",1,122.415660094619,105.916999816895,-16.4986602777248
86,"MA(1)",6,129.971992888232,90.3247611636207,-39.6472317246117
86,"MA(1)",12,139.513833156338,79.2069562829059,-60.3068768734325
86,"MA(2)",1,123.379841113162,105.916999816895,-17.462841296267
86,"MA(2)",6,135.30032381692,90.3247611636207,-44.9755626532998
86,"MA(2)",12,146.589785087081,79.2069562829059,-67.3828288041748
86,"ARMA(1,1)",1,123.17277483318,105.916999816895,-17.2557750162854
86,"ARMA(1,1)",6,132.814755950047,90.3247611636207,-42.4899947864262
86,"ARMA(1,1)",12,143.128185562313,79.2069562829059,-63.9212292794073
86,"Auto-ARIMA",1,117.435214822329,105.916999816895,-11.5182150054346
86,"Auto-ARIMA",6,97.6813872536587,90.3247611636207,-7.35662609003802
86,"Auto-ARIMA",12,78.7730836666786,79.2069562829059,0.433872616227319
87,"Naive RW",1,105.916999816895,111.4971429734,5.58014315650578
87,"Naive RW",6,105.916999816895,93.5938095819382,-12.3231902349563
87,"Naive RW",12,105.916999816895,83.3689478824013,-22.5480519344932
87,"Naive RW (bias-c)",1,106.501458895394,111.4971429734,4.99568407800662
87,"Naive RW (bias-c)",6,109.472488120163,93.5938095819382,-15.878678538225
87,"Naive RW (bias-c)",12,113.147329285546,83.3689478824013,-29.7783814031449
87,"RW + drift",1,106.842686095656,111.4971429734,4.65445687774449
87,"RW + drift",6,111.593894685044,93.5938095819382,-18.0000851031062
87,"RW + drift",12,117.575057379886,83.3689478824013,-34.206109497485
87,"AR(1)",1,104.712916722853,111.4971429734,6.78422625054695
87,"AR(1)",6,107.924620370862,93.5938095819382,-14.330810788924
87,"AR(1)",12,113.699190858907,83.3689478824013,-30.3302429765052
87,"MA(1)",1,101.640506433408,111.4971429734,9.85663653999245
87,"MA(1)",6,106.640829462937,93.5938095819382,-13.047019880999
87,"MA(1)",12,112.859948020421,83.3689478824013,-29.49100013802
87,"MA(2)",1,102.140497450282,111.4971429734,9.35664552311833
87,"MA(2)",6,105.113761222655,93.5938095819382,-11.5199516407169
87,"MA(2)",12,111.831326680229,83.3689478824013,-28.4623787978281
87,"ARMA(1,1)",1,101.794866159972,111.4971429734,9.70227681342858
87,"ARMA(1,1)",6,106.203251222698,93.5938095819382,-12.6094416407597
87,"ARMA(1,1)",12,112.572744971063,83.3689478824013,-29.2037970886619
87,"Auto-ARIMA",1,95.1675589887242,111.4971429734,16.3295839846761
