"h","model","n_origins","RMSE","MAE","MAPE","start_origin","rank"
1,"AR(1)",86,6.37461676895732,4.79307041264964,6.93306553051953,48,1
1,"MA(1)",86,6.39434405094522,4.73123880759305,6.78239222809056,48,2
1,"Naive RW (bias-c)",86,6.42240610975347,4.78962071178231,7.08891000807331,48,3
1,"Naive RW",86,6.42797030358665,4.79107308678166,7.08498731597558,48,4
1,"ARMA(1,1)",86,6.43962773380162,4.75626213378902,6.79841822028016,48,5
1,"RW + drift",86,6.46551417789768,4.82619603985454,7.14544774467386,48,6
1,"MA(2)",86,6.51782132261315,4.80763752548649,6.86087282661562,48,7
1,"Auto-ARIMA",86,6.90594937600494,5.11675449582604,7.10620166547857,48,8
1,"AR(1)",74,6.69582235055757,5.00696168557971,7.17150411494008,60,1
1,"MA(1)",74,6.70998401316405,4.92808964072586,6.98378077868785,60,2
1,"ARMA(1,1)",74,6.75931961829574,4.9556955361255,7.00018404805004,60,3
1,"Naive RW (bias-c)",74,6.76661865163027,5.04463256226599,7.42180201733131,60,4
1,"Naive RW",74,6.77224645838687,5.04113085137837,7.41013374972129,60,5
1,"RW + drift",74,6.81069118205092,5.08265581607821,7.48022060396636,60,6
1,"MA(2)",74,6.84460911105401,5.01605750353188,7.07423944724277,60,7
1,"Auto-ARIMA",74,7.23451827405265,5.28779128208701,7.22829589248247,60,8
1,"Naive RW (bias-c)",62,6.48036894677768,4.85776554428945,5.81949853157771,72,1
1,"Naive RW",62,6.48988854233076,4.84456683040564,5.79177069429725,72,2
1,"RW + drift",62,6.5199330707733,4.8803830124017,5.84657988331594,72,3
1,"AR(1)",62,6.56661694917949,4.97078199448374,5.94546007539509,72,4
1,"MA(1)",62,6.62970616931899,4.93281630282716,5.89240087954552,72,5
1,"ARMA(1,1)",62,6.68744408613765,4.97128423040078,5.93829384877461,72,6
1,"MA(2)",62,6.80869919224843,5.0445671005811,6.02876018584062,72,7
1,"Auto-ARIMA",62,7.36064031693645,5.47572784909442,6.47073489610902,72,8
6,"Naive RW",81,15.7033931795148,12.2102988145632,18.8197749999124,48,1
6,"Naive RW (bias-c)",81,15.9168766628386,12.6088571973178,19.5340690897681,48,2
6,"RW + drift",81,16.5964789547444,13.1588761511989,20.3877984293115,48,3
6,"MA(1)",81,16.8892536718645,13.2257123963601,20.5549199861782,48,4
6,"AR(1)",81,16.9649065663218,13.1235680628971,20.3537354134173,48,5
6,"ARMA(1,1)",81,17.0476233759904,13.2669176792711,20.6715232203415,48,6
6,"MA(2)",81,17.2557171789173,13.2781288195431,20.7115080307016,48,7
6,"Auto-ARIMA",81,18.3358435680608,13.2031958772587,19.5540912536964,48,8
6,"Naive RW",69,15.3484268541374,12.0643592829777,15.8740934359629,60,1
6,"Naive RW (bias-c)",69,15.4169602151074,12.3736706574442,16.3424280591587,60,2
6,"RW + drift",69,16.1701656149142,12.9392677517672,17.1993915661885,60,3
6,"MA(1)",69,16.3673401214267,12.8865265665178,17.1177728397087,60,4
6,"AR(1)",69,16.504953312147,12.7864091510538,16.9470774546398,60,5
6,"ARMA(1,1)",69,16.5288528875198,12.9060907316465,17.1983164887637,60,6
6,"MA(2)",69,16.7144164702504,12.8454605028864,17.1025832227749,60,7
6,"Auto-ARIMA",69,18.4285679107681,13.2672204397316,16.7478468824768,60,8
6,"Naive RW",57,14.8139796750171,11.1072589396899,12.8969020578899,72,1
6,"Naive RW (bias-c)",57,15.1349363170657,11.6918238878338,13.8154275166331,72,2
6,"RW + drift",57,15.6670263984026,11.9977774467076,14.1463395628691,72,3
6,"MA(1)",57,16.1197297382402,12.1434596924309,14.3849673930993,72,4
6,"AR(1)",57,16.2301212788147,12.011244614216,14.1366833544856,72,5
6,"ARMA(1,1)",57,16.2745590545417,12.1408149054505,14.379537117093,72,6
6,"MA(2)",57,16.5530375195642,12.1573318095192,14.4094202719927,72,7
6,"Auto-ARIMA",57,19.3328264511171,13.3770228851415,15.2709019708957,72,8
12,"Naive RW",75,23.042897640704,18.929154892004,28.7335315096605,48,1
12,"Naive RW (bias-c)",75,23.7344456614204,20.1173146999718,31.1079453519016,48,2
12,"Auto-ARIMA",75,25.1487338616464,19.7797431239061,29.1202910000124,48,3
12,"RW + drift",75,25.6702838301681,21.5047874055612,33.1491932183071,48,4
12,"AR(1)",75,26.0195278682382,21.6864039112774,33.5235597401981,48,5
12,"MA(1)",75,26.2581414365079,22.0740150869217,34.2533596317801,48,6
12,"ARMA(1,1)",75,26.4754279480493,22.208611114137,34.5132277762997,48,7
12,"MA(2)",75,26.7413575411513,22.3943063966265,34.8811838594366,48,8
12,"Naive RW",63,22.7724825205127,18.4230661093527,22.9639765676139,60,1
12,"Naive RW (bias-c)",63,23.0875721001756,19.399623148743,24.634594746038,60,2
12,"RW + drift",63,25.1455167688585,20.8468689718466,26.4703079719479,60,3
12,"Auto-ARIMA",63,25.3152913251693,19.4615507712908,23.5055796058232,60,4
12,"AR(1)",63,25.4736953772023,21.00020196111,26.7396444623131,60,5
12,"MA(1)",63,25.5792521121244,21.2724335613267,27.1521100174054,60,6
12,"ARMA(1,1)",63,25.7878196417114,21.3844857368075,27.3391001224168,60,7
12,"MA(2)",63,25.9959473167674,21.4922438623509,27.50960717164,60,8
12,"Naive RW",51,20.3971458234057,15.9400639751429,18.9146653766608,72,1
12,"Naive RW (bias-c)",51,21.6623234456773,17.7147588990312,21.7407874578664,72,2
12,"RW + drift",51,23.1279361763175,18.6077561536485,22.7630538312037,72,3
12,"AR(1)",51,23.7123669095931,18.9326250158099,23.2491431821877,72,4
12,"MA(1)",51,24.0665543477007,19.3980939829599,23.9401117239985,72,5
12,"ARMA(1,1)",51,24.2654655636566,19.5156845491249,24.1227660500971,72,6
12,"Auto-ARIMA",51,24.6055828916736,17.8521956519805,20.4354614311775,72,7
12,"MA(2)",51,24.6574368854312,19.7662699605211,24.48152677474,72,8
