"h","model","n_origins","RMSE","MAE","MAPE","start_origin"
1,"Naive RW",62,6.48988854233076,4.84456683040564,5.79177069429725,72
1,"Naive RW (bias-c)",62,6.48036894677768,4.85776554428945,5.81949853157771,72
1,"RW + drift",62,6.5199330707733,4.8803830124017,5.84657988331594,72
1,"AR(1)",62,6.56661694917949,4.97078199448374,5.94546007539509,72
1,"MA(1)",62,6.62970616931899,4.93281630282716,5.89240087954552,72
1,"MA(2)",62,6.80869919224843,5.0445671005811,6.02876018584062,72
1,"ARMA(1,1)",62,6.68744408613765,4.97128423040078,5.93829384877461,72
1,"Auto-ARIMA",62,7.36064031693645,5.47572784909442,6.47073489610902,72
6,"Naive RW",57,14.8139796750171,11.1072589396899,12.8969020578899,72
6,"Naive RW (bias-c)",57,15.1349363170657,11.6918238878338,13.8154275166331,72
6,"RW + drift",57,15.6670263984026,11.9977774467076,14.1463395628691,72
6,"AR(1)",57,16.2301212788147,12.011244614216,14.1366833544856,72
6,"MA(1)",57,16.1197297382402,12.1434596924309,14.3849673930993,72
6,"MA(2)",57,16.5530375195642,12.1573318095192,14.4094202719927,72
6,"ARMA(1,1)",57,16.2745590545417,12.1408149054505,14.379537117093,72
6,"Auto-ARIMA",57,19.3328264511171,13.3770228851415,15.2709019708957,72
12,"Naive RW",51,20.3971458234057,15.9400639751429,18.9146653766608,72
12,"Naive RW (bias-c)",51,21.6623234456773,17.7147588990312,21.7407874578664,72
12,"RW + drift",51,23.1279361763175,18.6077561536485,22.7630538312037,72
12,"AR(1)",51,23.7123669095931,18.9326250158099,23.2491431821877,72
12,"MA(1)",51,24.0665543477007,19.3980939829599,23.9401117239985,72
12,"MA(2)",51,24.6574368854312,19.7662699605211,24.48152677474,72
12,"ARMA(1,1)",51,24.2654655636566,19.5156845491249,24.1227660500971,72
12,"Auto-ARIMA",51,24.6055828916736,17.8521956519805,20.4354614311775,72
